ID,Title,Status,Overall,AU,AP,MU,MP,CU,CP,AL,AV,AM,B,A
F-VGMDB-9358,Idoly Pride,Unknown,4.589887805634015,0,1.6,0,0,0,0,0,0.9200000877379994,1.5,1,0
A-MAL-40842,Idoly Pride,Completed,3.52,0,1.6,0,0,0,0,0,0.9199999999999999,0,1,0
M-VGMDB-AL-106487,IDOLY PRIDE / Hoshimi Production,Unknown,1.669774973059457,0,0,0,0,0,0,0,0.22999999999999995,1.5,0.0984162384552421,0
M-VGMDB-AL-106487-1,IDOLY PRIDE,Completed,1.598416238455242,0,0,0,0,0,0,0,0,1.5,0.0984162384552421,0
F-VGMDB-7175,Midara na Ao-chan wa Benkyou ga Dekinai,Unknown,0.4958107939486454,0,0,0,0,0,0,0,0.7680013642311476,0.09,-0.2971533709257825,0
A-MAL-38778,Midara na Ao-chan wa Benkyou ga Dekinai,Dropped,0.4958094482914945,0,0,0,0,0,0,0,0.768,0.09,-0.2971533709257825,0
M-VGMDB-AL-85759,WONDERFUL WONDER / EDOGA-SULLIVAN,Unknown,0.2572256310087103,0,0,0,0,0,0,0,0.2572256310087103,0,0,0
M-VGMDB-AL-85759-1,WONDERFUL WONDER,Completed,0.7875588094386466,0,0.24,0,0,0,0,0,0,0.44999999999999996,0.09755880943864667,0
F-VGMDB-4043,Ao no Kanata no Four Rhythm,Unknown,6.398733959010613,0,1.7608652364127182,0,0.6514769155738632,0.002705204006698519,0,0,0.8960000000038453,3.1217873383569055,0.9629773385161194,0
V-VNDB-12849,Ao no Kanata no Four Rhythm,Completed,4.043633495959691,0,1.7126568159705078,0,0.6514769155738632,0.002705204006698519,0,0,0.8960000000000001,0.5520000000401518,0.942867219855142,0
M-VGMDB-AL-52834,Ao no Kanata no Four Rhythm Vocal &amp; Sound Collection,Unknown,2.8204772096465676,0,0.02999999999999999,0,0,0,0,0,0.07166666666666666,2.7600000000000002,0.01999331213028857,0
M-VGMDB-AL-55828,Contrail ~Kiseki~ / Mami Kawada,Unknown,2.279838221539689,0,0.43499999999999994,0,0,0,0,0,0.07999999999999999,1.71,0.11979255032331543,0
M-VGMDB-AL-55828-1,Contrail ~Kiseki~,Completed,2.2647925503233153,0,0.43499999999999994,0,0,0,0,0,0,1.71,0.11979255032331543,0
M-20221202T205008,Wings of Courage -Sora o Koete- (Epsilon Remix),Completed,2.0499665606514426,0,0.14999999999999997,0,0,0,0,0,0,1.7999999999999998,0.09996656065144287,0
M-20221202T210558,Contrail ~Kiseki~ (Epsilon Remix),Completed,1.9007737313491144,0,0,0,0,0,0,0,0,1.7999999999999998,0.10077373134911459,0
F-VGMDB-2931,Shingeki no Kyojin,Unknown,3.771220500347633,0,2.3,0,0,0,0,0,0.39821542973230545,0,1.0730050706153278,0
A-MAL-16498,Shingeki no Kyojin,Completed,1.2691769919311404,0,-0.11486983549970348,0,0,0,0,0,0.3466666666666667,0,1.0373801607641773,0
A-MAL-25777,Shingeki no Kyojin Season 2,Completed,1.2317968311669631,0,-0.11486983549970348,0,0,0,0,0,0.3466666666666667,0,1,0
A-MAL-35760,Shingeki no Kyojin Season 3,Completed,1.2317968311669631,0,-0.11486983549970348,0,0,0,0,0,0.3466666666666667,0,1,0
A-MAL-38524,Shingeki no Kyojin Season 3 Part 2,Completed,3.524537109265424,0,2.3851301645002967,0,0,0,0,0,0.3466666666666667,0,0.7927402780984604,0
F-VGMDB-6083,Arifureta Shokugyou de Sekaisaikyou,Unknown,2.2923474344403214,0.5,0.06,0,0,0,0,0,0.7000000000000001,0.36000000000000004,0.9036091391597536,0
A-MAL-36882,Arifureta Shokugyou de Sekai Saikyou,Completed,2.118199249902709,0.5,0,0,0,0,0,0,0.7000000000000001,0.06000000000000001,0.9036091391597536,0
M-VGMDB-AL-86592,FLARE / Void_Chords feat.LIO,Unknown,0.46423627522968625,0,0.06,0,0,0,0,0,0.02083333333333333,0.30000000000000004,0.09960196940769038,0
M-VGMDB-AL-86592-1,FLARE,Completed,0.4596019694076904,0,0.06,0,0,0,0,0,0,0.30000000000000004,0.09960196940769038,0
F-VGMDB-7638,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erande Iraremasen,Unknown,3.9949026937171865,0,2.3,0,0,0,0,0,0.744082116022603,0,0.9508205776945841,0
A-MAL-39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Completed,2.9945722051137453,0,1.4209419563050472,0,0,0,0,0,0.6666666666666666,0,0.9069635821420314,0
A-MAL-40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,Completed,2.9876086229717136,0,1.4209419563050472,0,0,0,0,0,0.6666666666666666,0,0.9,0
A-MAL-42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Completed,3.1527326187842712,0,1.5942331392568367,0,0,0,0,0,0.6666666666666666,0,0.8918328128607679,0
F-VGMDB-694,Atelier,Unknown,10.049731177497499,1.1731530876119196,4.561903394082684,0.03994732890260255,1.325367928039156,0.028638956013786306,2.3076540515595996,0,1.146936942939957,2.8479732608128447,0.7367731757451004,0
A-MAL-21167,Escha &amp; Logy no Atelier: Tasogare no Sora no Renkinjutsushi,Completed,5.224965810783183,0.041782237713443575,3.2079010642725003,0.03994732890260255,0.8167166196500132,0.028638956013786306,0.05765405155959964,0,0.6,0.3634762244594611,1.0257906076576482,0
M-VGMDB-AL-45361,Escha &amp; Logy no Atelier ~Tasogare no Sora no Renkinjutsushi~ Original Soundtrack the Animation,Unknown,1.9357876589858742,0,0,0,0,0,0,0,0.14999999999999997,1.7999999999999998,0.09974386212234697,0
M-VGMDB-AL-45361-1,アスイロ,Completed,1.8997438621223468,0,0,0,0,0,0,0,0,1.7999999999999998,0.09974386212234697,0
G-VGMDB-3499,Sophie no Atelier ~Fushigi na Hon no Renkinjutsushi~,Completed,3.0569178813915414,0,1.1217101679341028,0,0,0,0,0,0.8006006036854155,0,1.1346071097720232,0
G-VGMDB-1090,Ayesha no Atelier: Tasogare no Daichi no Renkinjutsushi,Completed,4.9651265262720985,1.131370849898476,2.487199589759835,0,0,0,0,0,0.9610822320532026,0,1.1346071097720232,0
G-VGMDB-1880,Escha &amp; Logy no Atelier ~Tasogare no Sora no Renkinjutsushi~,Dropped,4.830695825222355,0,2.703630021416671,0,1.0923261259872652,0,0,0,1.12167070152351,0,0.6615863496415422,0
M-VGMDB-AL-45607,Twilight Ocean Shallie no Atelier ~Tasogare no Umi no Renkinjutsushi~ Vocal Album,Unknown,1.6338596008286148,0,0,0,0,0,0,0,0.13416666666666666,1.5,0.10064255560080702,0
M-VGMDB-AL-45607-4,Miruiro no Hoshi,Completed,1.600642555600807,0,0,0,0,0,0,0,0,1.5,0.10064255560080702,0
M-VGMDB-AL-59535,Firis no Atelier ~Fushigi na Tabi no Renkinjutsushi~ Vocal Album,Unknown,4.165957303804898,0,0,0,0,0,2.25,0,0.08333333333333331,1.7999999999999998,0.10035447212616483,0
M-VGMDB-AL-59535-9,Into the Journey,Completed,4.150354472126165,0,0,0,0,0,2.25,0,0,1.7999999999999998,0.10035447212616483,0
M-VGMDB-AL-38558,Twilight Sky Escha &amp; Logy no Atelier ~Tasogare no Sora no Renkinjutsushi~ Vocal Album,Unknown,1.748449064072915,0,0.24999999999999997,0,0,0,0,0,0.16666666666666663,1.35,0.10120225416991978,0
M-VGMDB-AL-38558-8,Sky of Twilight,Completed,1.7012022541699199,0,0.24999999999999997,0,0,0,0,0,0,1.35,0.10120225416991978,0
F-VGMDB-8817,ATRI -My Dear Moments-,Unknown,5.857006906717778,0,1.001337654386098,0,0,2.7052040066985192,0,0,0.8026673795750288,2.1599999999999997,0.3375041879814925,0
V-VNDB-27448,ATRI -My Dear Moments-,Dropped,4.315415716934318,0,1.001337654386098,0,0,2.7052040066985192,0,0,0.8026666666666666,0.36,0.3375041879814925,0
M-VGMDB-AL-100754,ATRI -My Dear Moments- Original Soundtrack,Unknown,1.8747918988512884,0,0,0,0,0,0,0,0.2508333333333333,1.7999999999999998,0,0
F-VGMDB-5173,BanG Dream!,Unknown,7.919374072616468,0.03824300313831432,2.8737158122388635,-0.01977338773039344,0.2487907682750145,2.324500210886728,0.01511176414729171,0.00012708582655928912,0.6400068832212351,3.197733851323803,0.5408452506922566,0
M-VGMDB-AL-60358,STAR BEAT! ~Hoshi no Kodou~ / Poppin'Party,Unknown,1.3534838491668346,0,0,0,0,0,0,0,0.175,1.2000000000000002,0.10030751500090888,0
